text,language
Sherehe ya utamaduni wetu ni ya kipekee sana.,Swahili
"Karibu Kenya, the land of beauty and big hearts.",English
Masomo ya Kiswahili ni muhimu sana nchini Kenya.,Swahili
Ile situation ilinifanya nihisi vibaya for real.,Sheng
Mama osiko e ot timo chiemo.,Luo
"Community is everything, never let go of your people.",English
Ofisi yetu imefunguliwa mapema leo asubuhi.,Swahili
"Kujijua ni kujua, hii ni rule ya kwanza ya mtaani.",Sheng
Urban farming is growing in Nairobi and it makes a lot of sense.,English
Baba amenunua pikipiki mpya jana usiku.,Swahili
Rech maber yudo e dho nam.,Luo
"Masika yanakuja, wakulima wanafurahi sana.",Swahili
Wuoyi no odhi e nam nango rech.,Luo
Mtoto mdogo wetu ameanza kutembea wiki hii.,Swahili
My sister passed her driving test on the first try.,English
"Bana I am so tired, I have been on my feet since six.",English
Oganda wan gi chopo e lemo kawuono.,Luo
We went for tilapia in Kisumu and I have never tasted better.,English
Don't forget to carry the envelope.,English
"Huyo msee ana heart nzuri, hupendi kumdhuru mtu.",Sheng
"Mandazi and chai in the morning, that is Kenyan culture.",English
"Nilichukua mkate na chai asubuhi, ndio ilinisaidia kufika.",Sheng
"Ulikuwa unafikiria nitasema nini, nilikaa kimya tu.",Sheng
"Bei gani hii ndizi, ni ghali mno.",Swahili
"Maze nilikuambia uje mapema, saa hii umechelewa.",Sheng
Niambie ukweli utakuja ama utaniangusha tena.,Sheng
An gi tich mang'eny kawuono odiechieng'.,Luo
Barabara ya Mombasa ina mashimo mengi sana.,Swahili
"Ile joke ilikuwa dead, hakuna mtu alicheka honestly.",Sheng
Mama osemako nyathi maber kawuono.,Luo
Piny ng'ich ahinya kawuono odhiambo.,Luo
Visiting grandma upcountry is always good for the soul.,English
River Nairobi needs serious cleaning and it starts with us.,English
"Huyo msee ni grounded sana, fame haikumbadilisha.",Sheng
"Plant a tree, our grandchildren will need the shade.",English
"Send me the money via Mpesa, I will sort you out tomorrow.",English
Mbuga ya Tsavo ina tembo wengi wa kupendeza.,Swahili
"Maze boda boda ilimpita gari kwa nafasi ndogo, moyo ukasimama.",Sheng
An gi duol maber mar wuoyo gi osiepe.,Luo
Biashara ya mama yangu inafanya vizuri wiki hii.,Sheng
"Nilikula vibaya jana, tumbo linanikaa leo asubuhi.",Sheng
"Mama mboga, hii nyanya ni mbichi bado.",Swahili
Hustle yangu ya side inaanza kupick up vizuri sana.,Sheng
My cousin grows avocados and exports them to Europe.,English
Wuoda bedo kawinjo wach ma japuonj wacho.,Luo
Jaduong' osenyiso wuoyi tich mag puoth.,Luo
"Watu wanasema bado mdogo, mimi najua ninachotaka.",Sheng
Wuoyi no ng'eyo tich mag puoth maber.,Luo
Wuoyi no odhi puoth kawuono okinyi.,Luo
I am the firstborn so the pressure on me is real.,English
Abiria wote wameingia kwenye basi tayari.,Swahili
Nyithindo singo e ot kotieno.,Luo
"We are hiring, please share with anyone who might be interested.",English
"Nilifail exam moja, niko down kidogo but sitakata tamaa.",Sheng
The Ministry of Health has warned of a spike in respiratory illnesses.,English
Mama oselo rech ne ji kawuono.,Luo
"Piny chuer kawuono, an gi mor ahinya.",Luo
Piny ber kawuono odiechieng' mana.,Luo
The government has announced free laptops for class one pupils.,English
Rech maber chiemo ne ji duto e dala.,Luo
Wuoyi no odhi e nam kawuono.,Luo
Maporomoko ya ardhi yameharibu nyumba nyingi kaskazini.,Swahili
"Shule ya sekondari iko mbali, anatembea kila siku.",Swahili
Nyako no osiepena biro kawuono okinyi.,Luo
Watu wa social media wanajua kila kitu lakini hawajui chochote.,Sheng
Nilifika ofisi nikibeba jasho kwa sababu ya kusimama kwa jua.,Sheng
Mama osemako nyithindo maber ahinya.,Luo
Wuoyi no ng'eyo nango rech maber ahinya.,Luo
"Piny ber kawuono, chieng' wuok maber ahinya.",Luo
"Koth ochwe kawuono, wabedo e ot.",Luo
Kwa base ya town kila msee ana hadithi yake ya asubuhi.,Sheng
NHIF card came in handy when my child was admitted last month.,English
"Watu wa foleni hawana subira, kila mtu anataka kwanza.",Sheng
Bibi yangu anaishi kijijini mbali na mji.,Swahili
"I have been trying to reach you since morning, where have you been?",English
Dhako no osecho kuon ne ji.,Luo
I have been sleeping early and waking up fresh every morning.,English
Nyako owinjo wach ma mama wacho.,Luo
"University applications are now open, apply early.",English
Mama amepika chapati na dengu usiku wa leo.,Swahili
Mama oselo rech ne nyithindo kawuono.,Luo
Kwa kiosk ya chini chapati ni tano kwa mia moja tu.,Sheng
Soko la Gikomba lina bidhaa nyingi za bei nafuu.,Swahili
Nyumbani kwetu tunapenda ugali na samaki.,Swahili
Our area gets water once a week and it is never enough.,English
Maze nilikuwa peke yangu lakini buda wangu walija wote.,Sheng
Maze ninataka kuwa mtu wa kutegemewa kwa familia yangu.,Sheng
Mama osenyiso nyako timo chiemo maber.,Luo
Ji duto e oganda wan gi horuok.,Luo
"Maze watu wanachekesha saa hii, hii content ni bushe.",Sheng
Dada yangu ameolewa mwaka jana Disemba.,Swahili
"Nilikuwa nasimama kwa mat yote, mguu ulinikaa vibaya.",Sheng
Tich ma japuonj timo en matek ahinya.,Luo
Jangwa la kaskazini linazidi kukua kila mwaka.,Swahili
A good laugh with good people is the best medicine honestly.,English
Maze dream yangu ni kubwa lakini naamini itawezekana.,Sheng
"Niliweka hii na watu wakasema fire, nilifeel good.",Sheng
Nilifika destination yangu baada ya foleni ya saa moja.,Sheng
The project deadline has been moved to end of month.,English
Oganda wan gi chopo e dala kawuono.,Luo
Meet me at the usual spot at 6.,English
Maze the queue at the bank was too long today.,English
Rech maber chiemo ne ji duto.,Luo
"Kenyans are resilient people, we find a way no matter what.",English
Duka la Kamau linafungua saa tatu asubuhi.,Swahili
Wanafunzi wengi wamefaulu mtihani wa taifa.,Swahili
An gi hera ne nam Victoria.,Luo
Bonde la Ufa ni sehemu nzuri ya nchi yetu.,Swahili
Nilikuwa sina kitu lakini nilijua ninajua kufanya nini.,Sheng
"Finishing the year strong, no option.",English
Osiepa oduogo dala kawuono odhiambo.,Luo
"Piny ber kawuono, koth ok ochwe.",Luo
An timo tich e puoth kawuono okinyi.,Luo
Miradi mipya ya maji imefika vijiji vingi vijijini.,Swahili
Maze watu wanafolllow trends za nje wakisahau zetu za hapa.,Sheng
Mvua ya masika inatarajiwa kuanza mapema mwaka huu.,Swahili
My laptop charger died and I have a deadline tonight.,English
An gi hera ne nyithindo mag dala.,Luo
"Hujambo jirani, umepona vizuri?",Swahili
My grandmother is ninety years old and still sharp as ever.,English
We finally got the contract signed after three months.,English
Hii town inakufanya uwe smart haraka ama utaumia.,Sheng
"Nilikuwa namuambia kila kitu, yeye alikuwa my therapist.",Sheng
Ji mathoth odhi e chiro kawuono okinyi.,Luo
An dhi e puoth kawuono okinyi.,Luo
Matunda kama papai ni mazuri kwa afya.,Swahili
Kaka yangu mkubwa amepata kazi mpya mjini.,Swahili
"Nilifolllow back kwa sababu tu ya kuwa polite, kweli.",Sheng
Hustle ya mtaani inakufundisha haraka kuliko chuo chochote.,Sheng
Maze nilikuwa na njaa sana hadi kichwa kilikuwa kinauma.,Sheng
Ndugu zangu wote wamekusanyika nyumbani leo.,Swahili
Ndege wengi wanahamia Afrika Mashariki kila mwaka.,Swahili
Mechi ya mwisho wa ligi itafanyika Jumamosi.,Swahili
Maze foleni ya Ronald Ngala ilikuwa ya kutisha asubuhi.,Sheng
"We are expecting a new baby in the family, God is great.",English
The new HR policy has everyone confused at the office.,English
"Msee huyo ni real, hakuwahi nisalimia na maneno matupu.",Sheng
Ninapenda chai ya tangawizi asubuhi na jioni.,Swahili
Rech mang'eny yudo e dho nam kawuono.,Luo
Mwalimu alisema watoto wasome kwa bidii zaidi.,Swahili
Ninaenda kanisani kila Jumapili asubuhi.,Swahili
Koth ochwe kawuono gotieno.,Luo
"The mat I was in had fourteen people, completely packed.",English
Jodala wuotho e dala odhiambo maber.,Luo
"Buda akiwa loyal, mshike sana usimwacha.",Sheng
Our community mosque was renovated and looks beautiful now.,English
Baridi ya usiku inazidi siku hizi.,Swahili
Shangazi alituletea zawadi nyingi kutoka Mombasa.,Swahili
Theluji ya Kilimanjaro inaonekana mbali sana.,Swahili
"Msee akisema ana ujuzi, mwambie akuonyeshe kwanza.",Sheng
"Wewe ulikuwa wapi, tulikuwa tunakungoja tangu asubuhi.",Sheng
I started my day with a prayer and it set the right tone.,English
Maze watu wa twitter wanachomana kila siku bila sababu.,Sheng
Jodala wacho wach gi horuok kaachiel.,Luo
"Nimekasirika lakini sitaonyesha, nitajifunga tu.",Sheng
Hospitali ya taifa inatibu watu wengi kila siku.,Swahili
"Maze nilichoka na hizo drama, nikatoka kimya kimya.",Sheng
"Maze nilifeel embarrassed, dunia yangu ilikuwa ndogo.",Sheng
Nilikuwa nakaa kwa base na watu wetu mpaka usiku.,Sheng
Mvua ya kwanza ya masika huleta harufu nzuri.,Swahili
Nimetuma ujumbe kwa familia yangu kupitia WhatsApp.,Swahili
Chieng' wuok jaber kawuono okinyi maber.,Luo
"Ile mat ilikuwa imejaa kupita kiasi, tulikuwa kama sardines.",Sheng
An gi paro ne tich manyien.,Luo
Niliweka story yangu na views zika-hit elfu moja haraka.,Sheng
Mwimbaji huyo ana sauti nzuri ya ajabu sana.,Swahili
Twende tukachome nyama kwa ile kibanda ya kando.,Sheng
Chakula cha harusi kilikuwa kitamu sana usiku.,Swahili
"Maze nilichoka, nataka kulala tu saa hii.",Sheng
"Aisee huyo dem alimwangusha vibaya, poor guy.",Sheng
Kenya won three gold medals and the whole country was celebrating.,English
Wuoyi no odhi e nam kawuono okinyi.,Luo
Ziwa Victoria lina samaki wengi wa aina tofauti.,Swahili
"Nilifurahi sana, ilikuwa news nzuri kweli kweli.",Sheng
Wasanii wa Kenya wanasifika duniani siku hizi.,Swahili
Lunch for a hundred bob is getting harder to find in this city.,English
Oganda wan gi hera gi horuok e dala.,Luo
Being of service to others is one of the greatest callings.,English
Timu ya taifa imeshinda mechi ya jana usiku.,Swahili
"The client meeting went well, they loved our presentation.",English
"Bana si kujua tu, ile situation ilikuwa sus sana.",Sheng
The training this week has been very insightful.,English
Police have arrested four suspects in connection with the robbery.,English
"I saved a thousand bob this week, small wins still count.",English
"Huyo dem ana energy ya positive, kila wakati ana smile.",Sheng
Maze ninataka kusafiri nje ya nchi mwaka huu au ujao.,Sheng
"Nilikuwa na gut feeling lakini sikusikiliza, nikaona.",Sheng
Nilikeep cool lakini ndani yangu nilikuwa nachemka sana.,Sheng
Nimepigiwa simu na rafiki yangu wa zamani.,Swahili
Kiwanda kipya kitaajiri watu wengi wa mtaa.,Swahili
Osiepa biro lawa kawuono odhiambo.,Luo
The drought in the north has affected thousands of livestock.,English
"Low bat, will call u when I charge.",English
Jaduong' osenyiso nyithindo wach maber.,Luo
I woke up at five to beat the traffic and it actually worked.,English
Wuoyi no odhi e chiro kawuono.,Luo
"Maze job market ni ngumu, bado natafuta kitu serious.",Sheng
Jaduong' olemo kawuono gokinyi.,Luo
I missed the last mat and had to take a cab at night.,English
"School fees deadline is this Friday, still hustling.",English
An dhi lemo kawuono odhiambo maber.,Luo
Paro dala moro amora ma jaber.,Luo
Garbage collection in this estate has not happened in two weeks.,English
"Ile mat ilicheza benga yote njia yote, ilikuwa experience.",Sheng
Ji mathoth odhi nango rech e nam.,Luo
Mwezi wa Ramadhani watu wanafunga kwa imani.,Swahili
"Maze watu wanaposema wanakupenda, angalia matendo yao.",Sheng
A new hospital will be constructed in Turkana under the new budget.,English
Nilikuwa nakutafuta tangu jana jioni.,Swahili
Michezo ya Afrika inafanyika nchini mwaka huu.,Swahili
Muuza mboga amesema bei imepanda leo.,Swahili
Bana huyo msee ana audacity ya level ya juu sana.,Sheng
"Maze nilinunua mandazi kwa kumi, ikanitosha mpaka jioni.",Sheng
"Wacha tuende base, nilikuwa nakungoja kwa muda mrefu sana.",Sheng
The village church celebrated a hundred years this December.,English
"This Nairobi cold has no chill, literally.",English
"Nimemwambia ukweli, lakini hakusikia.",Swahili
"Piny chuer kawuono, an bedo e ot.",Luo
Piny ber ahinya kawuono odiechieng'.,Luo
An dhi nam kawuono odhiambo nango rech.,Luo
Kanisa letu lina waumini wengi wa aina zote.,Swahili
Nyithindo ohero chiemo kuon gi aliya.,Luo
An gi hera ahinya ne dala.,Luo
"Maze ile moment ilikuwa awkward sana, sikujua natazame wapi.",Sheng
I finally opened a savings account and I feel like an adult now.,English
"Leo jioni tukae kwa roof, views ni poa sana.",Sheng
Jaduong' wuotho e dala gokinyi maber.,Luo
Biashara ndogo ndogo zinahitaji msaada wa serikali.,Swahili
Biashara ya mama inapata faida kubwa siku hizi.,Swahili
"Kila mtu ana path yake, yangu ni yangu tu usinilinganishe.",Sheng
"Niliomba buda anunue juice, akasema ana budget.",Sheng
Nairobi expressway has reduced my commute time by half.,English
Zoezi la mwili kila siku linasaidia mwili kuwa na nguvu.,Swahili
"How are you doing, long time no see my friend.",English
"Habari ya asubuhi, umefanya nini leo?",Swahili
"Maze bei imepanda, mia tano haikufika hata mchana.",Sheng
Roasted maize by the roadside is a whole childhood memory.,English
Mgonjwa amepona vizuri baada ya wiki mbili.,Swahili
"Bana ile move alifanya ilikuwa cold kabisa, aisee.",Sheng
Ninaomba msaada wako kwa kazi hii ndogo.,Swahili
Nilikuwa naomba mkopo lakini hakuna msee wa kusaidia.,Sheng
Jaduong' osenyiso wuoyi wach maber.,Luo
Hii generation yetu inafanya mambo makubwa quietly.,Sheng
Wimbo wa ibada unagusa moyo wangu kila wakati.,Swahili
Ji mathoth odhi e puoth kawuono okinyi.,Luo
Radio bado inasikika vizuri hata katika mashamba.,Swahili
Ninaenda supermarketi kununua vitu vya nyumba.,Swahili
Bibi anapika wali na mchuzi wa samaki safi.,Swahili
My brother just came back from working in Qatar.,English
Sala ya asubuhi inanipa nguvu kwa siku nzima.,Swahili
Blood donation drive happens at Kenyatta Hospital every Friday.,English
"I paid rent, bought food, and now I am broke until payday.",English
Mwezi huu wa Aprili mvua inategemewa.,Swahili
"Bana leo nilijifunza kitu kipya, kila siku ina lesson yake.",Sheng
Nimeweka mkoba wangu mahali salama.,Swahili
Mvua ya masika imeanza wiki iliyopita.,Swahili
Dawa za asili zinaweza kusaidia maumivu kidogo.,Swahili
An chiemo kuon gi aliya okinyi.,Luo
Wuoyo gi jowetena en gima ber ahinya.,Luo
Usingizi wa kutosha ni muhimu kwa afya nzuri.,Swahili
An ng'eyo puoth maber ahinya.,Luo
"Just discovered a new Kenyan series on streaming, it is very good.",English
Mpesa imebadilisha jinsi tunavyotuma pesa nchini.,Swahili
Mtandao wa nyumbani kwangu hauna kasi leo.,Swahili
The number of gyms in Nairobi has grown so much in five years.,English
Msaada wa haraka uliokolewa maisha ya mgonjwa.,Swahili
Dereva alipiga kelele kwa abiria wote washuke.,Swahili
Wuoyi no timo tich matek e puoth kawuono.,Luo
Jodongo luoro wach maber kaachiel.,Luo
Shule imefungwa kwa likizo ya mwaka.,Swahili
"God has been faithful this year, I have no complaints.",English
An ng'eyo nam Victoria maber ahinya.,Luo
Wajasiriamali wachanga wanafunzwa ujuzi wa biashara.,Swahili
Nyanya yangu anaishi karibu sana na sisi.,Swahili
An gi tich maber e puoth kawuono.,Luo
Daktari alisema niwe na starehe kwa siku mbili.,Swahili
Nyako no ohero singo gi osiepe.,Luo
Shirika la ndege limetangaza safari mpya za kimataifa.,Swahili
"Maze nilikuwa sijui jibu, nikaomba muda kidogo wa kufikiria.",Sheng
An ng'eyo nango rech maber ahinya.,Luo
An gi mor ne nyithindo mag dala maber.,Luo
"Nimepoteza simu yangu, unajua iliko wapi?",Swahili
Conductor akasema full na bado walikuwa wanaingia watu.,Sheng
Jodala ohero ng'eyo wach maber kaachiel.,Luo
Nyako no owinjo duol mar mama.,Luo
Grateful for good friends who show up when it matters.,English
"Buda ameninunulia chips, nikamshukuru kwa moyo wote.",Sheng
Maharagwe ya leo yamepikwa vizuri sana.,Swahili
"Nilifika stage nikakuta mat imejaa, nikasubiri ile nyingine.",Sheng
"Niko hapo, just parking.",English
An gi tich mang'eny e puoth kawuono.,Luo
Maze hii song mpya ya huyo msee ni on repeat yangu.,Sheng
Ji mathoth ng'eyo nam Victoria maber.,Luo
Nyako owinjo wach jodongo maber.,Luo
Ji mathoth odhi e nam nango rech.,Luo
"Niliheard beat mpya ya producer wa mtaani, ni fire kweli.",Sheng
"Mikate hii imeoka vizuri, inukia vizuri sana.",Swahili
Jodala odhi nango rech kawuono.,Luo
Jodongo luoro wach maber e oganda.,Luo
"Nilifika nyumbani nikakuta chakula kimeshaisha, nikaona.",Sheng
"Ile deal ilikufa last minute, niliumia kidogo.",Sheng
Boda boda ni haraka zaidi wakati wa foleni.,Swahili
"Leo ni Jumatatu, wiki mpya inaanza.",Swahili
Kwa tiktok huyo msee anafanya content poa sana.,Sheng
Ninataka kujenga nyumba ya mama yangu kabla sijachelewa.,Sheng
"Gram yangu inaonekana poa saa hii, niko na good content.",Sheng
"Maze niliombwa nisaidie, nikasaidia, akasahau haraka sana.",Sheng
Nilipost at the right time na engagement ilikuwa crazy.,Sheng
The youth group cleaned the market area last Saturday morning.,English
"Ile sticker kwa mat ilikuwa funny sana, nilicheka peke yangu.",Sheng
Dua ya moyo inasikika mbinguni bila shaka.,Swahili
Simu yangu ya zamani bado inafanya kazi vizuri.,Swahili
"Beshte yangu wa kweli ni mmoja tu, wengine ni watu tu.",Sheng
"Nilikuwa namuamini sana, akachora mbaya sana kweli.",Sheng
Traffic is flowing well surprisingly for a Monday morning.,English
Ninaomba recipe ya kuku wa kupaka tafadhali.,Swahili
Mama osenyiso nyako tich mag ot.,Luo
An chiemo kuon gi rech odhiambo maber.,Luo
"Maze nilikuwa nimesahau kulipa, conductor akaniambia niombe wengine.",Sheng
"Happy Sunday, rest well.",English
"I bought airtime for my mum, she forgets to do it herself.",English
"Mpesa till number is on the wall, just pay and I will confirm.",English
"Naenda kwa miguu leo, gari liko garaji.",Swahili
Ji mathoth odhi nango rech e nam kawuono.,Luo
Ji duto ohero tho dala maber.,Luo
The stadium was packed last night for the athletics finals.,English
Ji duto e dala wan gi horuok kaachiel.,Luo
"Msee mmoja alikuwa anaimba ndani ya mat, watu wakamchekesha.",Sheng
Matunda ya msimu yako bei nafuu sana.,Swahili
"Huyo msee ni moto, anajua kila deal ya town yote.",Sheng
"Piny rach kawuono, koth biro.",Luo
My landlord wants rent by the first or he starts texting daily.,English
"Nilikuwa nimepoteza twenty bob change kwa mat, sikujali.",Sheng
Nilikuwa tired lakini nikajua kazi haiezi kuachwa hivyo.,Sheng
Nilikaa kwenye foleni kwa masaa mawili jana.,Swahili
Simu yangu ya kazi imekuwa na tatizo leo.,Swahili
Mama oselo chiemo ne ji duto e ot.,Luo
Osiepe jokaya wan gi mor kaachiel.,Luo
"Kaa kwa makali, vitu vya watu vinaibwa kwa base.",Sheng
Televisheni mpya ina picha nzuri sana ya HD.,Swahili
Mkataba mpya wa kazi umesainiwa leo asubuhi.,Swahili
"Beshte yangu alikuwa pale pale wakati nilianguka, nashukuri.",Sheng
"Chakula cha mama ni different level, hakuna comparable.",Sheng
Buda yangu anasema believe in yourself na mimi naamini.,Sheng
Shangazi anapenda kupika chakula kitamu sana.,Swahili
Ji duto ohero chopo e lemo kaachiel.,Luo
Tumekuwa hatukuonana kwa muda mrefu.,Swahili
"Niko kwa nyumba ya mtaa, kuja tukae kidogo.",Sheng
Internet bundles are expensive but we cannot live without them.,English
Send me the PIN I forgot it again.,English
Our church is doing a food drive for families in need this week.,English
Ji mathoth ng'eyo tich mag puoth.,Luo
Dhako no timo chiemo maber ahinya.,Luo
An gi tich e puoth kawuono okinyi.,Luo
Ninataka unga wa ngano kwa ajili ya chapati.,Swahili
Mvua ya masika huleta huzuni na furaha.,Swahili
"Huyo comedian wa mtaani ana material ya gold, real talent.",Sheng
Jaduong' osebedo motegno kendo saa ni.,Luo
Mtoto wangu wa kwanza ameanza shule wiki hii.,Swahili
Filamu mpya ya Kiswahili inaonyeshwa sinema.,Swahili
"Twende tuone ile show, tikiti bado ziko.",Sheng
Kazi yangu inahitaji kusafiri mara kwa mara.,Swahili
Tbt ya zamani ilinipata watu wakicomment wengi sana.,Sheng
Kenya sevens supporters are truly a different breed of loyal.,English
Jaduong' osenyiso nyako tich mag ot.,Luo
Fuel prices have gone up again effective midnight last night.,English
Ardhi hii ni nzuri sana kwa kilimo cha mahindi.,Swahili
Maze viral moment ya wiki hii ilikuwa ya Kenyan tena.,Sheng
Riadha ni michezo inayopendwa sana Kenya.,Swahili
"Huyo msee anajua shortcuts za kila kitu, yeye ni ule ule.",Sheng
Maze watu wa Twitter Kenya wanachekesha but wanaumiza pia.,Sheng
The Cabinet Secretary has called an urgent press briefing for this afternoon.,English
"Confirmed, see u then.",English
An odhi e chiro kawuono odhiambo.,Luo
Ninapenda kununua nguo za watoto hapa.,Swahili
Maze alikuwa ananiambia story lakini nilijua alikuwa anaficha.,Sheng
"They are doing road works on Ngong Road, expect delays.",English
"Just submitted my resignation, new chapter loading.",English
Nyathi no wuotho maber e dala.,Luo
Nilifail mara nyingi lakini kila wakati niliamka tena.,Sheng
"Maze nilikuwa nimejipanga, kitu kidogo tu kiliingia kwa kati.",Sheng
Osiepe jokaya biro kawuono odhiambo.,Luo
"Nimejipanga, mwezi huu sitaomba mtu chochote.",Sheng
"Oyawore, idhi nade kawuono?",Luo
Misitu inazidi kupotea kwa sababu ya ukataji.,Swahili
"Habari za kazi, unafanya vizuri?",Swahili
An dhi nam kawuono odhiambo.,Luo
Maze nilifurahi sana mpaka sikujua nitafanye nini kwanza.,Sheng
Ji mathoth odhi e puoth kawuono.,Luo
"My son starts Form One next January, time flies.",English
The cost of living has gone up but the salaries have not moved.,English
An chiemo kuon gi aliya kawuono okinyi.,Luo
"Nikaona na macho yangu mwenyewe, sikuweza kuamini.",Sheng
Siku ya Eid watu huvaa nguo nzuri sana.,Swahili
Sukuma wiki inapikwa na nyama ya ng'ombe.,Swahili
Maze watu wa town wana style lakini hawana pesa wakati mwingine.,Sheng
"Faith without action is nothing, we have to work hard too.",English
Nilikuwa nampenda lakini akacheza michezo mingi sana.,Sheng
Nyathi no wuotho e dho ot.,Luo
Elimu bora ndiyo urithi mkubwa kwa watoto.,Swahili
"Sema tu mahali, nitafika kama saa tatu usiku.",Sheng
Kazi ya ujenzi itaisha mwezi wa tatu ujao.,Swahili
"Base yetu ni safe, tunajuana wote vizuri.",Sheng
ATM ilikuwa imejaa watu leo asubuhi mapema.,Swahili
"Forest cover in the Mau is slowly recovering, good news.",English
My cousin is visiting from the village this weekend.,English
"Aki nimechelewa, start without me.",English
My aunty sent some uji and dried vegetables from shags.,English
"Nilifolllow huyo msee kwa insta, content yake ni lit.",Sheng
"Ile post ilikuwa fire, watu wote waka-react haraka.",Sheng
Osiepa biro lawa kawuono okinyi.,Luo
I have three group chats that are active at the same time right now.,English
"Harambee Stars match tonight at Nyayo, who is going?",English
Msikiti mpya umejengwa katika mtaa wetu huu.,Swahili
"My wifi router is acting up again, calling the technician tomorrow.",English
Jodongo bedo kaluoro wach maber.,Luo
Kila siku naomba Mungu anipe nguvu ya kuendelea tu.,Sheng
Mkutano wa viongozi utafanyika Nairobi wiki ijayo.,Swahili
